Title,Color,MRP,SP,Discount
Classic Crew,Midnight Navy,1800.00,1500.00,16.7
Classic Crew,Deep Olive,1800.00,1500.00,16.7
Classic Crew,Classic Black,1800.00,1500.00,16.7
Classic Crew,Heather Grey,2300.00,1800.00,21.7
Classic Crew,Biscuit,1800.00,1500.00,16.7
Classic Crew,Theory Olive,1800.00,1500.00,16.7
Classic Crew,Denim Blue,2300.00,1800.00,21.7
Classic Crew,Sky Blue,1800.00,1500.00,16.7
Classic Crew,Pack of 3 Core,5900.00,4500.00,23.7
Supima Polo,Midnight Navy,,1800.00,0.0
Supima Polo,Classic Black,,1800.00,0.0
Supima Polo,Sergeant Maroon,,1800.00,0.0
Supima Polo,Ultra Green,,1800.00,0.0
Supima Polo,Sea Blue,,1800.00,0.0
Supima Polo,Core Pack,5400.00,5000.00,7.4
Supima Polo,Bone,1800.00,1290.00,28.3
Classic V,Midnight Navy,,1500.00,0.0
Classic V,Deep Olive,,1500.00,0.0
Classic V,Classic Black,,1500.00,0.0
Classic V,Heather Grey,2300.00,1800.00,21.7
Classic V,Core Pack,5300.00,4500.00,15.1
Classic Suvin,Pure White,,4900.00,0.0
Suvin V,Pure White,,4900.00,0.0
Classic Crew,Classic Black LS,,2300.00,0.0
