Title,Color,MRP,SP
Classic Crew,Midnight Navy,"₹1,800","₹1,500"
Classic Crew,Deep Olive,"₹1,800","₹1,500"
Classic Crew,Classic Black,"₹1,800","₹1,500"
Classic Crew,Heather Grey,"₹2,300","₹1,800"
Classic Crew,Biscuit,"₹1,800","₹1,500"
Classic Crew,Theory Olive,"₹1,800","₹1,500"
Classic Crew,Denim Blue,"₹2,300","₹1,800"
Classic Crew,Sky Blue,"₹1,800","₹1,500"
Classic Crew,Pack of 3 Core,"₹5,900","₹4,500"
Supima Polo,Midnight Navy,,"₹1,800"
Supima Polo,Classic Black,,"₹1,800"
Supima Polo,Sergeant Maroon,,"₹1,800"
Supima Polo,Ultra Green,,"₹1,800"
Supima Polo,Sea Blue,,"₹1,800"
Supima Polo,Core Pack,"₹5,400","₹5,000"
Supima Polo,Bone,"₹1,800","₹1,290"
Classic V,Midnight Navy,,"₹1,500"
Classic V,Deep Olive,,"₹1,500"
Classic V,Classic Black,,"₹1,500"
Classic V,Heather Grey,"₹2,300","₹1,800"
Classic V,Core Pack,"₹5,300","₹4,500"
Classic Suvin,Pure White,,"₹4,900"
Suvin V,Pure White,,"₹4,900"
Classic Crew,Classic Black LS,,"₹2,300"
